sample_id	barcode	country	region	date
KLF_KE001	barcode01	Kenya	Africa	2019-04-13
KLF_KE002	barcode02	Kenya	Africa	2019-05-21
KLF_KE003	barcode03	Kenya	Africa	2019-01-22
KLF_KE004	barcode04	Kenya	Africa	2020-02-26
KLF_KE005	barcode05	Kenya	Africa	2022-01-18
KLF_KE006	barcode06	Kenya	Africa	2019-12-13
KLF_KE007	barcode07	Kenya	Africa	2019-02-23
KLF_KE008	barcode08	Kenya	Africa	2019-06-03
KLF_KE009	barcode09	Kenya	Africa	2018-12-30
KLF_KE0010	barcode10	Kenya	Africa	2020-04-01
KLF_KE0011	barcode11	Kenya	Africa	2022-04-29
KLF_KE0012	barcode12	Kenya	Africa	2019-03-31
KLF_KE0013	barcode13	Kenya	Africa	2021-06-26
KLF_KE0014	barcode14	Kenya	Africa	2019-11-02
KLF_KE0015	barcode15	Kenya	Africa	2020-01-29
KLF_KE0016	barcode16	Kenya	Africa	2019-12-28
KLF_KE0017	barcode17	Kenya	Africa	2019-10-13
KLF_KE0018	barcode18	Kenya	Africa	2019-02-14
KLF_KE0019	barcode19	Kenya	Africa	2019-09-10
KLF_KE0020	barcode20	Kenya	Africa	2020-01-09
KLF_KE0021	barcode21	Kenya	Africa	2019-11-23
KLF_KE0022	barcode22	Kenya	Africa	2019-07-20
KLF_KE0023	barcode23	Kenya	Africa	2020-04-05
KLF_KE0024	barcode24	Kenya	Africa	2019-09-01
KLF_KE0025	barcode25	Kenya	Africa	2019-04-14
KLF_KE0026	barcode26	Kenya	Africa	2020-02-23
KLF_KE0027	barcode27	Kenya	Africa	2019-03-22
KLF_KE0028	barcode28	Kenya	Africa	2020-03-05
KLF_KE0029	barcode29	Kenya	Africa	2019-05-15
KLF_KE0030	barcode30	Kenya	Africa	2020-03-01
KLF_KE0031	barcode31	Kenya	Africa	2019-06-07
KLF_KE0032	barcode32	Kenya	Africa	2023-02-20
KLF_KE0033	barcode33	Kenya	Africa	2023-10-19
KLF_KE0034	barcode34	Kenya	Africa	2023-06-22
KLF_KE0035	barcode35	Kenya	Africa	2023-06-22
KLF_KE0036	barcode36	Kenya	Africa	1994-01-01
KLF_KE0037	barcode37	Kenya	Africa	1985-01-01
KLF_KE0038	barcode38	Kenya	Africa	1994-01-01
KLF_KE0039	barcode39	Kenya	Africa	2012-02-01
KLF_KE0040	barcode40	Kenya	Africa	2011-03-01
KLF_KE0041	barcode41	Kenya	Africa	2019-03-01
KLF_KE0042	barcode42	Kenya	Africa	2017-04-01
KLF_KE0043	barcode43	Kenya	Africa	2018-04-01
KLF_KE0044	barcode44	Kenya	Africa	2019-02-01
KLF_KE0045	barcode45	Kenya	Africa	2018-12-01
KLF_KE0046	barcode46	Kenya	Africa	2018-12-01
KLF_KE0047	barcode47	Kenya	Africa	2018-11-01
KLF_KE0048	barcode48	Kenya	Africa	2018-11-01
KLF_KE0049	barcode49	Kenya	Africa	2018-05-01
KLF_KE0050	barcode50	Kenya	Africa	2017-05-01
KLF_KE0051	barcode51	Kenya	Africa	2020-08-01
KLF_KE0052	barcode52	Kenya	Africa	2018-01-01
KLF_KE0053	barcode53	Kenya	Africa	2019-01-01
KLF_KE0054	barcode54	Kenya	Africa	2017-01-01
KLF_KE0055	barcode55	Kenya	Africa	2018-01-01
KLF_KE0056	barcode56	Kenya	Africa	2017-01-01
KLF_KE0057	barcode57	Kenya	Africa	2019-01-01
KLF_KE0058	barcode58	Kenya	Africa	2014-01-01
KLF_KE0059	barcode59	Kenya	Africa	2017-01-01
KLF_KE0060	barcode60	Kenya	Africa	2013-01-01
KLF_KE0061	barcode61	Kenya	Africa	2010-01-01
KLF_KE0062	barcode62	Kenya	Africa	1993-01-01
KLF_KE0063	barcode63	Kenya	Africa	2007-01-01
KLF_KE0064	barcode64	Kenya	Africa	1993-01-01
KLF_KE0065	barcode65	Kenya	Africa	2018-01-01
KLF_KE0066	barcode66	Kenya	Africa	2014-01-01
KLF_KE0067	barcode67	Kenya	Africa	2011-01-01
KLF_KE0068	barcode68	Kenya	Africa	2006-01-01
KLF_KE0069	barcode69	Kenya	Africa	2013-01-01
KLF_KE0070	barcode70	Kenya	Africa	2012-01-01
KLF_KE0071	barcode71	Kenya	Africa	2011-01-01
KLF_KE0072	barcode72	Kenya	Africa	2010-01-01
KLF_KE0073	barcode73	Kenya	Africa	2005-01-01
KLF_KE0074	barcode74	Kenya	Africa	2003-01-01
KLF_KE0075	barcode75	Kenya	Africa	2009-01-01
KLF_KE0076	barcode76	Kenya	Africa	2008-01-01
KLF_KE0077	barcode77	Kenya	Africa	2007-01-01
KLF_KE0078	barcode78	Kenya	Africa	2003-01-01
KLF_KE0079	barcode79	Kenya	Africa	2017-01-01
KLF_KE0080	barcode80	Kenya	Africa	1999-01-01
KLF_KE0081	barcode81	Kenya	Africa	2018-01-01
KLF_KE0082	barcode82	Kenya	Africa	2015-01-01
KLF_KE0083	barcode83	Kenya	Africa	2009-01-01
KLF_KE0084	barcode84	Kenya	Africa	2008-01-01
KLF_KE0085	barcode85	Kenya	Africa	2005-01-01
KLF_KE0086	barcode86	Kenya	Africa	2001-01-01
KLF_KE0087	barcode87	Kenya	Africa	2016-01-01
KLF_KE0088	barcode88	Kenya	Africa	2016-01-01
KLF_KE0089	barcode89	Kenya	Africa	2006-01-01
KLF_KE0090	barcode90	Kenya	Africa	2015-01-01
KLF_KE0091	barcode91	Kenya	Africa	2019-01-01
KLF_KE0092	barcode92	Kenya	Africa	2012-01-01
KLF_KE0093	barcode93	Kenya	Africa	2002-01-01
KLF_KE0094	barcode94	Kenya	Africa	2020-08-01
KLF_KE0095	barcode95	Kenya	Africa	2019-02-01
